County,City,Property Address,Property Zip,Owner Name,Property Type,Building SqFt,Market Value,Improvement Value,Prop Lat,Prop Lon,Account ID,Geo ID
Hidalgo,Edinburg,9601 N 10Th St,,Las Vias Trailer Park Llc,Commercial Real Property,"257,004","$2,000,133","$183,157",26.29021,-98.21696,297615,T2100-00-278-0013-03
Hidalgo,Weslaco,2202 Sugar Sweet Ave,,Ziwa Holdings Ltd,Commercial Real Property,"125,899","$2,000,000","$1,653,778",26.18068,-97.96982,654395,W2370-00-000-0001-00
Cameron,La Feria,300 Expy 83 & Parker Rd,78559,La Feria Partners Llc,Commercial Real Property,"4,251","$2,000,000","$546,446",26.1578,-97.8239,180071,85-3150-0000-0010-00
Cameron,La Feria,900 W Us Expwy 83,78559,Mueller Supply Company Inc Dba Mueller Inc,Commercial Real Property,"17,695","$2,000,000","$101,461",26.1578,-97.8239,180064,85-2942-0000-0010-00
Hidalgo,McAllen,302 - 310 Conquest Blvd,,Schunior I Real Estate,Commercial Real Property,"51,210","$1,999,636","$1,644,495",26.25665,-98.17116,654725,S3092-00-000-0014-00
Hidalgo,Edinburg,1702 S State Hwy 336,,Dm International Llc,Commercial Real Property,"148,975","$1,991,674","$1,205,084",26.29324,-98.21346,297588,T2100-00-278-0010-19
Hidalgo,Edinburg,2320 N Sugar Rd,,Guerra Bertha Alicia,Multifamily Residential,"130,211","$1,990,308","$1,436,911",26.32608,-98.1726,676414,S6855-00-000-0002-00
Hidalgo,,11435 N Bryan Rd,,Total Commitment In Ministries,Commercial Real Property,"189,922","$1,988,659","$1,732,073",26.31828,-98.29423,796287,W0100-00-050-0010-20
Hidalgo,McAllen,2714 E 4 Mile Rd,,Coogan Edward J Fmly Lmtd Prtnrshp,Multifamily Residential,"87,194","$1,982,976","$1,743,192",26.26518,-98.26942,566553,G0230-00-000-0001-00
Hidalgo,Edinburg,2910 W Monte Cristo Rd,,Magic Valley Electric,Commercial Real Property,"302,306","$1,982,930","$1,670,630",26.34053,-98.18883,592666,C0410-00-000-0001-00
Hidalgo,McAllen,1401 Dove Ave,,Raybec Crossing Court Llc & Raybec Crossing North Llc,Multifamily Residential,"54,885","$1,982,639","$1,779,564",26.25384,-98.22563,258654,P5750-00-002-0000-00
Hidalgo,McAllen,1101 E Nolana Loop,,El Campu Llc,Commercial Real Property,"238,155","$1,981,457","$1,266,993",26.23394,-98.16677,845939,P7545-01-000-0001-00
Hidalgo,McAllen,4701 S Sugar Rd,,Responsive Education Solutions Of Texas Charter School,Commercial Real Property,"198,000","$1,979,107","$1,540,735",26.25949,-98.18611,583454,H3262-00-000-0001-00
Hidalgo,McAllen,7113 N 10Th St,,Nadg Nnn Att,Commercial Real Property,"52,000","$1,978,055","$418,055",26.2678,-98.2197,544219,D2950-02-000-0001-00
Hidalgo,McAllen,1200 Trenton Rd,,Barony Llc,Commercial Real Property,"61,594","$1,976,318","$1,465,098",26.26956,-98.22087,959045,V0535-00-001-004A-00
Hidalgo,McAllen,6620 N 23Rd St,,Guillon Israel & Martha,Commercial Real Property,"49,836","$1,975,122","$1,526,598",26.26461,-98.23478,267974,R1400-02-000-0003-0A
Hidalgo,Weslaco,2611 Vo-Tech Dr,,Agh Group Ltd,Commercial Real Property,"213,900","$1,972,517","$1,116,917",26.18648,-97.96807,729875,M4011-07-000-0003-00
Hidalgo,McAllen,5521 Doctor'S Dr,,Day Surgery At Renaissance Llc,Commercial Real Property,"59,403","$1,961,067","$1,527,425",26.25458,-98.20695,653318,D5790-00-000-0004-00
Hidalgo,,10605 N Conway Ave,,Galarza Patricia A & Julio A Perales,Commercial Real Property,"107,860","$1,960,690","$1,173,312",26.31109,-98.31078,715670,J5115-00-000-0001-00
Cameron,La Feria,116 E Expressway 83,78559,Mcdonalds Corp/State Site #42-1682,Commercial Real Property,"4,736","$1,953,884","$1,219,812",26.1578,-97.8239,180954,85-5383-0000-0020-00
Hidalgo,Edinburg,2210 W University Dr,,Downstream Partners Lp,Commercial Real Property,"77,817","$1,953,845","$1,020,041",26.30419,-98.18687,618995,J2255-01-000-001A-00
Hidalgo,Edinburg,2106 N Sugar Rd,,Raybec Sugar Llc,Multifamily Residential,"74,459","$1,949,134","$1,483,765",26.32434,-98.17387,547904,S6820-00-000-0001-00
Cameron,Harlingen,2015 S 77 Sunshine Strip Dr,78550,Svc Harli Llc,Commercial Real Property,"13,249","$1,947,603","$1,223,113",26.1906,-97.6961,367053,23-0706-0000-0010-00
Hidalgo,Edinburg,2801 W University Dr,,Grisham Family Ii Llc,Commercial Real Property,"72,310","$1,942,993","$1,465,750",26.30629,-98.19187,958376,L2870-00-000-0001-00
Hidalgo,McAllen,501 E Nolana Loop,,Centmat Properties Llc,Commercial Real Property,"415,800","$1,934,441","$687,041",26.23449,-98.17269,1567523,C2676-02-000-0001-00
Hidalgo,Edinburg,7517 N Expwy 281,,Hidalgo County,Commercial Real Property,"196,020","$1,934,017","$1,461,517",26.3768,-98.14568,277492,S1600-00-000-0012-00
Hidalgo,Edinburg,1561 S Mccoll Rd,,Ecr Capital Llc,Commercial Real Property,"66,854","$1,928,524","$959,139",26.292,-98.19731,794350,W3635-00-000-0001-00
Hidalgo,McAllen,7524 N 10Th St,,Bank Of America,Commercial Real Property,"43,953","$1,927,534","$1,048,474",26.27122,-98.2179,672423,T6835-00-000-0005-00
Hidalgo,McAllen,3601 S Bus Hwy 281,,Trimani Edinburg Llc,Commercial Real Property,"80,000","$1,924,935","$1,448,935",26.26784,-98.17223,1123522,B2310-00-000-001A-00
Hidalgo,Edinburg,N Expwy 281,,Ash Properties Llc,Commercial Real Property,"174,240","$1,924,228","$464,968",26.36876,-98.14349,277794,S1700-01-006-0000-20
Hidalgo,Edinburg,710 E Chapin Rd,,Magic Valley Concrete,Commercial Real Property,"1,047,618","$1,920,984","$201,684",26.31278,-98.15405,295550,T2100-00-241-0009-00
Hidalgo,McAllen,4600 N Cage Blvd,,Pharr Travel Real Estate Llc,Commercial Real Property,"263,538","$1,918,898","$74,132",26.2344,-98.176,202264,K2400-00-000-0100-02
Hidalgo,McAllen,3201 S I-69C,,Star Moulding Of Pharr Llc,Commercial Real Property,"161,390","$1,914,854","$1,062,715",26.27022,-98.15792,1467106,V3005-00-000-0001-00
Hidalgo,Edinburg,1602 E University Dr,,Nolana & Sixth Ltd,Commercial Real Property,"54,374","$1,911,213","$932,481",26.29851,-98.14622,314367,V3400-00-003-0005-00
Hidalgo,,8305 N La Homa Rd,,Eromosele Joseph U & Irene U Trustees,Commercial Real Property,"489,179","$1,909,358","$1,251,008",26.32305,-98.34716,209810,L1100-02-001-0079-00
Hidalgo,McAllen,2200 Industrial Rd,,Rby-Mcindustrial Llc,Commercial Real Property,"162,479","$1,907,942","$1,037,060",26.25282,-98.23633,20827312,M2250-00-000-0001-00
Cameron,San Benito,502 E Hwy 281,78586,Loera Lazaro,Commercial Real Property,"50,250","$1,907,649","$1,781,402",26.1281,-97.6311,187698,88-2310-0290-0420-00
Hidalgo,Alton,10043 N Conway Ave,,Garcia Tomas & Jesus,Commercial Real Property,"478,724","$1,906,222","$321,949",26.30628,-98.31284,318697,W0100-00-046-0006-00
Hidalgo,McAllen,1901 Dove Ave,,7- Eleven Inc,Commercial Real Property,"91,912","$1,901,095","$798,156",26.25456,-98.23162,959996,H1351-00-000-0001-00
Cameron,San Benito,401 E Business 77,78586,4R Realty Investors Llc,Commercial Real Property,"49,991","$1,900,890","$1,548,034",26.1281,-97.6311,189684,88-5270-0810-9000-00
Hidalgo,McAllen,4025 - 4031 S Mccoll Rd,,Southtex Trenton Town Center Lp,Commercial Real Property,"129,269","$1,900,000","$1,066,024",26.26929,-98.20269,840711,T6873-00-000-007B-00
Cameron,San Benito,2050 Turner Rd,78586,North System Llc,Commercial Real Property,"51,902","$1,900,000","$1,835,470",26.1281,-97.6311,104511,61-0460-0000-0010-00
Hidalgo,Edinburg,2502 - 2608 E Richardson Rd,,Grupo Pefam Gi Internacional Llc,Commercial Real Property,"71,110","$1,897,427","$1,716,096",26.30432,-98.13522,583351,M3748-01-000-0022-00
Hidalgo,McAllen,8024 N 10Th St,,Cheeseburger Holding Co Llc,Commercial Real Property,"56,624","$1,896,137","$763,662",26.27635,-98.21701,721235,T6835-03-000-0002-00
Hidalgo,Edinburg,5814 N Expressway 281 (I69C),,Sitepro Rentals Inc,Commercial Real Property,"227,819","$1,890,503","$1,341,353",26.36219,-98.14446,346730,T2663-00-000-0001-00
Hidalgo,McAllen,6101 N 23Rd St,,Bramble Real Estates Ltd,Commercial Real Property,"126,762","$1,889,046","$874,950",26.26011,-98.23665,659720,A2669-04-000-0001-00
Hidalgo,McAllen,1325 Minnesota Rd,,Mcallen Korean Presbyterian,Commercial Real Property,"73,196","$1,886,664","$1,615,838",26.24235,-98.19557,694007,M5460-00-000-0001-00
Hidalgo,Edinburg,700 W Chapin St,,Jhr Investments Lp,Commercial Real Property,"190,793","$1,880,570","$1,591,490",26.31569,-98.16675,295564,T2100-00-241-0012-04
Hidalgo,Edinburg,3204 & 3212 N I-69C (Hwy 281),,Lozano Andres,Commercial Real Property,"463,043","$1,879,107","$605,807",26.3302,-98.14419,732843,T2100-00-243-0006-12
Cameron,La Feria,White Ranch Rd,78559,26421 White Ranch Road Llc,Commercial Real Property,"6,000","$1,877,551","$198,051",26.1578,-97.8239,176733,84-3490-0060-0100-10
