County,City,Property Address,Property Zip,Owner Name,Property Type,Building SqFt,Market Value,Improvement Value,Prop Lat,Prop Lon,Account ID,Geo ID
Hidalgo,Edinburg,512 Newport Ave,,Mon Mack 2 A Series Of Dd Deerwood Properties Series Llc,Multifamily Residential,"8,975","$689,031 ","$599,285 ",26.30234,-98.20331,1123817,M5665-01-000-0008-00
Cameron,San Benito,2021 Amistad Dr,78586,Cameron Appraisal District,Commercial Real Property,"17,316","$688,899 ","$625,082 ",26.1281,-97.6311,188736,88-5230-0000-0190-00
Hidalgo,Edinburg,1212 White Oak Dr,,Tabi Kingsley Eyong,Multifamily Residential,"14,051","$688,878 ","$553,985 ",26.31363,-98.16227,1068666,W3780-00-000-0046-00
Hidalgo,McAllen,5021 Auburn Ave,,Kolodzej Diana,Multifamily Residential,"47,916","$688,549 ","$439,669 ",26.27984,-98.26491,282282,S2950-00-000-0407-27
Hidalgo,,10465 N Conway Ave,,United Contracting Llc,Commercial Real Property,"167,706","$688,124 ","$127,788 ",26.31039,-98.31246,318751,W0100-00-047-0006-17
Hidalgo,Edinburg,1111 W Cano St,,High Ames Llc,Multifamily Residential,"14,200","$687,684 ","$502,800 ",26.30223,-98.17391,323483,W2600-00-264-0014-00
Hidalgo,Mission,203 Montemorelos St,,Inmobiliaria Grenade Y Asociados Llc,Multifamily Residential,"13,842","$687,674 ","$618,464 ",26.28563,-98.2933,726105,P2155-00-000-0004-00
Hidalgo,Mission,119 N Montemorelos St,,Inmobiliaria Grenade Y Asociados Llc,Multifamily Residential,"13,842","$687,674 ","$618,464 ",26.2853,-98.29335,726103,P2155-00-000-0002-00
Hidalgo,McAllen,5801 N 10Th St,,Kct Capital Llc,Commercial Real Property,"11,696","$687,542 ","$300,246 ",26.25603,-98.22154,546998,P7530-00-000-0005-00
Hidalgo,Edinburg,2316 W Elisa Ln,,Raybec Violetas Llc,Multifamily Residential,"16,354","$687,005 ","$588,881 ",26.30721,-98.18863,578302,L3396-02-000-0007-00
Hidalgo,Edinburg,2805 W University Dr,,Pop Holdings Lp,Commercial Real Property,"39,640","$686,958 ","$375,787 ",26.30637,-98.19249,895255,F5600-05-000-0001-00
Hidalgo,Edinburg,4709 E Curry Rd,,C.R. Gabela Investments Llc,Commercial Real Property,"49,937","$686,435 ","$556,599 ",26.2888,-98.11339,1235384,A0113-03-000-0002-00
Hidalgo,McAllen,509 Nolana Ave,,Hidalgo County,Commercial Real Property,"60,364","$685,962 ","$504,870 ",26.22754,-98.14165,693455,H2547-00-000-0001-00
Hidalgo,Mercedes,621 Mile 2 1/2 E,,Cantu Eliseo & Indira,Multifamily Residential,"21,998","$685,865 ","$564,991 ",26.14622,-97.87002,720887,L3198-00-001-0009-00
Hidalgo,Edinburg,2324 W Elisa Ln,,Raybec Violetas Llc,Multifamily Residential,"16,354","$685,209 ","$587,085 ",26.30725,-98.18887,578303,L3396-02-000-0008-00
Cameron,San Benito,1400 E Business 77,78586,Raytis John B Trustee Of The John B Raytis Rev Tr Agreement Dtd 03/15/2023,Commercial Real Property,"1,417","$685,169 ","$457,107 ",26.1281,-97.6311,103308,59-6400-0150-0000-10
Cameron,San Benito,800 S Sam Houston,78586,Valley Shamrock Inc,Commercial Real Property,"2,687","$683,882 ","$359,882 ",26.1281,-97.6311,99872,57-1760-0010-0069-00
Hidalgo,McAllen,4609 N Jackson Rd,,Nolana Real Estate Investment Llc,Commercial Real Property,"90,064","$683,617 ","$296,342 ",26.24208,-98.19777,557067,M3770-00-000-0001-00
Hidalgo,Edinburg,1821 S Alamo Rd,,Arc Dgebgtxoo1 Llc,Commercial Real Property,"56,100","$682,487 ","$584,312 ",26.27666,-98.10803,839664,R1355-00-000-0001-00
Hidalgo,,8001 La Homa Rd,,Garza Eduardo & Naxell,Commercial Real Property,"61,348","$681,590 ","$620,242 ",26.31711,-98.34801,345472,R0535-00-000-0016-00
Hidalgo,Alton,11003 36Th Ln,,Vc & Pc Investments Llc,Multifamily Residential,"15,852","$681,559 ","$519,076 ",26.30728,-98.24416,1374982,S6443-00-000-0006-00
Hidalgo,McAllen,Us 281,,Almeria Holdings Llc,Commercial Real Property,"50,560","$681,174 ","$300,984 ",26.2407,-98.17563,591143,S2335-00-000-0002-00
Hidalgo,McAllen,5225 - 5227 S Mccoll Rd,,Dumela Group Llc,Commercial Real Property,"11,000","$680,907 ","$392,817 ",26.25552,-98.20418,593453,P7370-00-000-0031-00
Hidalgo,Alton,11002 33Rd Ln,,Vc & Pc Investments Llc,Multifamily Residential,"15,852","$680,827 ","$518,344 ",26.30684,-98.24091,1374993,S6443-00-000-0017-00
Cameron,San Benito,811 N Sam Houston Blvd,78586,Buford Owls Llc,Commercial Real Property,"6,902","$680,651 ","$504,161 ",26.1281,-97.6311,98907,57-0030-0360-0090-00
Hidalgo,Edinburg,114 Teak Dr,,Casas M&T Llc,Multifamily Residential,"10,808","$680,439 ","$553,985 ",26.31274,-98.16168,1068643,W3780-00-000-0023-00
Cameron,Harlingen,14950 W Expressway 83,78552,Cano Auto Sales 2 Llc,Commercial Real Property,"4,712","$679,879 ","$299,110 ",26.22,-97.67,175474,84-0737-0010-0010-00
Hidalgo,McAllen,621 E Danielle Ave,,Tabi Kingsley Eyong,Multifamily Residential,"10,238","$679,861 ","$575,438 ",26.23557,-98.17038,845840,H0423-00-000-0013-00
Hidalgo,McAllen,715 E Danielle Ave,,Rodriguez Property Investments Llc,Multifamily Residential,"10,238","$679,861 ","$575,438 ",26.23547,-98.16966,845843,H0423-00-000-0016-00
Hidalgo,,6700 N Mile 3 1/2 West Rd,,Guerra Ricardo Jr,Commercial Real Property,"257,004","$679,771 ","$601,891 ",26.22269,-97.9658,325089,W3800-00-276-0000-02
Hidalgo,,101A Corin Ave,,Autozone Parts Inc,Commercial Real Property,"52,093","$679,424 ","$546,587 ",26.29499,-98.0628,717836,C8161-01-000-0001-00
Cameron,Harlingen,401 Dixieland Road08,78550,Tesoro Realty Lp,Commercial Real Property,"2,957","$679,209 ","$412,143 ",26.1906,-97.6961,83289,25-3090-0010-0000-00
Hidalgo,,22310 N Moorefield Rd,,Bfi Waste Services Of Texas Lp,Commercial Real Property,"328,878","$679,199 ","$510,399 ",26.39576,-98.32481,702285,J2400-00-080-0011-00
Hidalgo,Edinburg,2308 W Elisa Ln,,Raybec Violetas Llc,Multifamily Residential,"16,354","$678,959 ","$580,835 ",26.30718,-98.18839,578301,L3396-02-000-0006-00
Hidalgo,Edinburg,1322 - 1326 N Closner Blvd,,Everyday Quality Homes Llc,Commercial Real Property,"94,961","$678,548 ","$509,574 ",26.31475,-98.1585,295557,T2100-00-241-0010-06
Hidalgo,McAllen,1302 Fig Ave,,Marinus Marc Savage,Multifamily Residential,"8,405","$678,543 ","$594,493 ",26.24028,-98.18982,695863,S6779-00-000-0005-00
Hidalgo,McAllen,1414 Santa Maria St,,Garcia Mike & Rosalba,Multifamily Residential,"40,626","$678,440 ","$479,373 ",26.24937,-98.15607,154105,C8350-00-000-0012-00
Hidalgo,,12710 N 33Rd Ln,,Villarreal Ricardo,Multifamily Residential,"13,987","$678,128 ","$538,259 ",26.32326,-98.23931,1568991,E5053-00-003-0054-00
Hidalgo,Weslaco,3924 Westgate Blvd (Mile 6 West),,Cantu Plaza Series A Protected Series Of R L C R Investments Llc,Commercial Real Property,"33,438","$677,826 ","$410,326 ",26.19749,-98.00692,698752,C8354-00-000-00C3-00
Hidalgo,Edinburg,5212 N Hwy 281,,Monmack Investments Llc,Commercial Real Property,"178,160","$677,594 ","$248,144 ",26.35844,-98.14512,277760,S1700-01-001-0000-05
Hidalgo,McAllen,5001 N Jackson Rd,,Cantu Ventures Ltd,Commercial Real Property,"70,567","$677,192 ","$112,654 ",26.2451,-98.19727,230947,M2650-00-003-0004-08
Cameron,La Feria,W Expressway 83 La W,78559,Galan Saul Jr & Benita,Commercial Real Property,768,"$677,062 ","$105,344 ",26.1578,-97.8239,180942,85-5382-0000-0010-00
Hidalgo,Edinburg,2412 E Richardson Rd,,Svea Db Holdings Llc,Commercial Real Property,"58,505","$677,009 ","$501,494 ",26.30445,-98.1362,583348,M3748-01-000-0019-00
Hidalgo,McAllen,5004 N Raul Longoria Rd,,Kissi Family Investment Llc,Commercial Real Property,"35,247","$676,890 ","$400,204 ",26.24098,-98.14731,235926,M3700-00-000-0003-00
Hidalgo,Edinburg,101 S 10Th St,,Hidalgo County,Commercial Real Property,"20,100","$676,506 ","$413,196 ",26.30125,-98.16399,165048,E3300-00-255-0007-00
Hidalgo,Edinburg,1419 Tower Rd,,Finca Andaluz Events Llc,Commercial Real Property,"186,319","$676,145 ","$330,893 ",26.2781,-98.09698,1236904,T2654-00-000-0006-00
Hidalgo,McAllen,4416 N Mccoll Rd,,Ferran Property Solutions Llc,Commercial Real Property,"18,970","$676,145 ","$398,234 ",26.24229,-98.20521,623985,L2490-01-002-0005-10
Hidalgo,,2903 Moorefield Rd,,Hidalgo North Properties Inc,Commercial Real Property,"56,013","$675,547 ","$409,485 ",26.32049,-98.33927,652286,E4937-14-000-0002-00
Hidalgo,Edinburg,1812 W University Dr,,Martello Inc,Commercial Real Property,"33,906","$675,504 ","$322,882 ",26.30369,-98.18215,505737,W0257-00-000-0003-00
Hidalgo,Edinburg,2410 Kimberly Ln,,The Knox Llc,Multifamily Residential,"13,044","$675,285 ","$557,889 ",26.3081,-98.18914,582366,B0310-02-000-0020-00
Hidalgo,,83 Rd St & Tex Mex Rd,,Intertainment Business Corp,Multifamily Residential,"21,230","$675,058 ","$619,860 ",26.29143,-98.0751,273859,R4750-00-002-0016-00
Hidalgo,,12535 N Ware Rd,,Schach Adam J & Kelsey L,Commercial Real Property,"46,343","$674,793 ","$526,495 ",26.32109,-98.24802,673117,S2052-00-000-0001-00
Cameron,La Feria,13422 Expressway 83,78559,Stephens Equity Partners Ltd,Commercial Real Property,"8,250","$674,771 ","$297,890 ",26.1578,-97.8239,182277,85-8190-0030-0200-00
Hidalgo,Alton,10017 N Glasscock Rd,,Yucca Street Investments Llc,Commercial Real Property,"213,880","$674,011 ","$446,614 ",26.30259,-98.28052,702813,S2950-00-000-0462-55
Hidalgo,,12714 N 33Rd Ln,,Guajardo Ivan Alejandro,Multifamily Residential,"13,557","$673,834 ","$538,259 ",26.32352,-98.23925,1568992,E5053-00-003-0055-00
Hidalgo,Mission,3307 5 Mile Line,,Alton Fd Llc,Commercial Real Property,"34,155","$673,305 ","$478,621 ",26.29257,-98.3562,722361,H5410-02-000-0001-00
Hidalgo,McAllen,2911 S Raul Longoria Rd,,Valley Baptist Mission-Education Center,Commercial Real Property,"93,218","$672,367 ","$299,493 ",26.27057,-98.14223,199500,J5700-00-001-0004-06
Hidalgo,Edinburg,1202 Upas Dr,,Handav Rj Trust,Multifamily Residential,"12,386","$671,745 ","$552,839 ",26.31271,-98.16072,1068647,W3780-00-000-0027-00
Cameron,San Benito,909 N Sam Houston,78586,Autozone Inc,Commercial Real Property,"6,795","$671,207 ","$524,215 ",26.1281,-97.6311,360620,58-7771-0000-0010-00
Cameron,Harlingen,22056 Fm 800 North,78552,1700 Mca Llc,Industrial Real Property,"3,618","$671,112 ","$591,597 ",26.22,-97.67,174875,84-0710-2810-0010-00
Cameron,Harlingen,1117 N Stuart Place Suite E Rd,78552,Cypress Quest Llc,Commercial Real Property,"8,094","$671,101 ","$577,659 ",26.22,-97.67,208719,98-4220-0030-0000-00
Hidalgo,Edinburg,1311 Bodark Dr,,2004-0000328 Llc,Multifamily Residential,"9,600","$671,000 ","$558,680 ",26.31531,-98.16139,1068622,W3780-00-000-0002-00
Hidalgo,Mission,3304 W Mile 5 N Rd,,Garcia Jesus Alberto Jr,Commercial Real Property,"57,434","$670,743 ","$343,369 ",26.29374,-98.35587,559737,L1069-06-000-0014-00
Hidalgo,Edinburg,1121 W Cano St,,Roqueta Estates Llc,Multifamily Residential,"10,650","$670,564 ","$538,504 ",26.3023,-98.17439,323486,W2600-00-264-0017-00
Hidalgo,Mission,S Dukakis,,Nuestra Clinica Del Valle Inc,Commercial Real Property,"82,300","$670,110 ","$530,200 ",26.28264,-98.31188,712585,A3510-00-000-0003-00
Cameron,La Feria,422 First St,78559,3628 Noakes St Enterprises Llc,Commercial Real Property,"9,100","$670,000 ","$646,974 ",26.1578,-97.8239,85576,29-0010-0120-0060-00
Hidalgo,Edinburg,1551 E Monte Cristo Rd,,Arb Real Estate Llc,Commercial Real Property,"32,572","$669,666 ","$506,804 ",26.33533,-98.14061,1235389,D6510-00-000-0001-00
Hidalgo,McAllen,5409 N Veterans Blvd ( I Rd),,Dda Realty Investments Llc,Multifamily Residential,"39,204","$669,581 ","$561,753 ",26.23962,-98.16013,202163,K2400-00-000-0081-09
Hidalgo,McAllen,2401 Cornerstone Blvd,,Mackie Eugene S Family Limited Partnership,Commercial Real Property,"4,800","$669,564 ","$523,164 ",26.2639,-98.1992,562650,C8230-02-006-0005-00
Cameron,Los Fresnos,33908 California Rd,78566,Abrego Calif Rd Apts Llc,Multifamily Residential,"5,866","$669,110 ","$508,269 ",26.0706,-97.5714,411286,74-0011-0010-0010-00
Hidalgo,Edinburg,N 281,,Ramirez Alfredo Jr & Javier G,Commercial Real Property,"121,968","$668,275 ","$297,056 ",26.36107,-98.14867,714342,S1700-01-000-0014-01
Hidalgo,Edinburg,1102 N Closner Blvd,,Jscj Investments Llc,Commercial Real Property,"101,059","$668,090 ","$480,513 ",26.31203,-98.15868,295552,T2100-00-241-0010-01
Cameron,La Feria,104 S Main,78559,Ntb Development Llc,Commercial Real Property,"19,019","$667,870 ","$501,370 ",26.1578,-97.8239,85214,29-0000-0070-0051-00
Hidalgo,Edinburg,2302 W Elisa Ln,,Raybec Violetas Llc,Multifamily Residential,"16,354","$667,379 ","$569,255 ",26.30715,-98.18815,578299,L3396-02-000-0005-00
Hidalgo,Edinburg,1112 Lexington Cir,,Nova Homes Inc,Multifamily Residential,"21,416","$666,899 ","$452,739 ",26.29348,-98.18037,569914,S6810-02-000-0038-00
Hidalgo,McAllen,2911 Sabercat Ave,,Escobar Elias S & Rosalinda G Villarreal,Multifamily Residential,"10,400","$666,765 ","$552,365 ",26.27057,-98.13863,1124175,R2059-00-003-0006-00
Hidalgo,McAllen,2500 S Expwy 281,,D & J Investments Ltd,Commercial Real Property,"90,405","$666,657 ","$69,984 ",26.27686,-98.14979,794302,A5411-08-000-0002-00
Hidalgo,McAllen,2721 Fountain Plaza Blvd,,Jyrt Development Lp,Commercial Real Property,"32,456","$666,301 ","$517,003 ",26.27794,-98.19749,633889,F5852-00-000-0005-00
Hidalgo,,648 E Anderson Rd,,Ramos Juan J,Commercial Real Property,"376,358","$665,392 ","$152,992 ",26.26893,-98.05175,192749,H3475-00-021-0000-01
Hidalgo,McAllen,701 E Danielle Ave,,Palacios Rolando Jr,Multifamily Residential,"10,238","$664,754 ","$560,331 ",26.23551,-98.1699,845842,H0423-00-000-0015-00
Hidalgo,Edinburg,611 - 613 Gastel Cir,,Gastel Circle Apartments Llc,Multifamily Residential,"22,771","$663,991 ","$436,281 ",26.30316,-98.18429,310944,U2000-00-000-0038-00
Hidalgo,,7302 W Mile 7,,Gonzalez Carlos & Roel,Commercial Real Property,"43,560","$663,804 ","$493,920 ",26.32789,-98.39044,717153,W4220-00-000-0002-00
Hidalgo,McAllen,1202 Fig Ave,,Yong Property Llc,Multifamily Residential,"9,015","$663,588 ","$573,438 ",26.24014,-98.18882,695859,S6779-00-000-0001-00
