County,City,Property Address,Property Zip,Owner Name,Property Type,Building SqFt,Market Value,Improvement Value,Prop Lat,Prop Lon,Account ID,Geo ID
Hidalgo,McAllen,6001 N 10Th St,,Town & Country Dunhill Llc,Commercial Real Property,"35,711","$1,279,023 ","$643,367 ",26.25756,-98.22154,510259,H2550-00-012-0011-20
Hidalgo,Edinburg,6001 N Expwy 281,,Key Lease & Service Co,Commercial Real Property,"329,314","$1,278,845 ","$523,853 ",26.36349,-98.14833,277728,S1700-01-000-0025-20
Hidalgo,Mission,217 N Alton Blvd,,Mcdonald'S Real Estate Co,Commercial Real Property,"52,500","$1,277,304 ","$752,304 ",26.28865,-98.31415,895350,J9510-00-003-0003-00
Hidalgo,Weslaco,2214 N Vo Tech Dr,,Anderson Columbia Co Inc,Commercial Real Property,"280,878","$1,276,061 ","$812,612 ",26.18327,-97.96527,692384,M6408-00-000-0002-00
Hidalgo,McAllen,5013 N Cage Blvd,,Rmj Investments Ltd,Commercial Real Property,"215,185","$1,275,914 ","$92,396 ",26.23865,-98.17934,202214,K2400-00-000-0092-05
Cameron,La Feria,400 E Expressway 83,78559,Dbi La Feria 1.34 Lp,Commercial Real Property,"16,560","$1,275,497 ","$452,823 ",26.1578,-97.8239,181210,85-5555-0000-0010-00
Hidalgo,Edinburg,209 - 217 N Jackson Rd,,Mdc Coastal 20 Llc,Commercial Real Property,"11,900","$1,274,217 ","$802,835 ",26.30302,-98.18776,627646,J2255-02-000-009A-00
Hidalgo,McAllen,301 Conquest Blvd,,Douglas-Farey Investments Llc,Commercial Real Property,"42,524","$1,274,128 ","$979,224 ",26.25763,-98.17119,654739,S3092-00-000-0028-00
Hidalgo,Edinburg,1605 E University Dr,,Harms Fred,Commercial Real Property,"43,316","$1,273,607 ","$493,919 ",26.29964,-98.14602,623554,M2922-00-000-0001-00
Hidalgo,McAllen,2204 W Trenton Rd,,Big Diamond Inc,Commercial Real Property,"59,069","$1,272,203 ","$445,237 ",26.2643,-98.19351,691724,J2004-00-000-0002-00
Hidalgo,McAllen,5325 S Mccoll Rd,,Surgical Associates Real Estate Llc,Commercial Real Property,"11,728","$1,271,544 ","$1,018,219 ",26.25514,-98.20518,563025,S6455-00-005-0001-00
Cameron,San Benito,2380 W Expressway 77/83,78586,Pawn Tx Inc,Commercial Real Property,"11,250","$1,271,368 ","$485,608 ",26.1281,-97.6311,101390,57-9630-0010-0020-00
Hidalgo,McAllen,7100 N 10Th St,,Robin Business Park Llc,Commercial Real Property,"39,146","$1,271,245 ","$574,442 ",26.2653,-98.21896,714327,D7970-00-000-0002-00
Hidalgo,McAllen,5537 N Mccoll Rd,,Lone Star National Bank,Commercial Real Property,"48,620","$1,270,031 ","$589,351 ",26.25133,-98.20485,556629,D7545-02-000-001A-00
