County,City,Property Address,Property Zip,Owner Name,Property Type,Building SqFt,Market Value,Improvement Value,Prop Lat,Prop Lon,Account ID,Geo ID
Hidalgo,Edinburg,1000 Las Alamedas,,World Harvest Training Center Inc,Commercial Real Property,"156,816","$1,184,727 ","$871,095 ",26.31344,-98.20878,215856,L3070-01-000-0290-00
Hidalgo,McAllen,6720 N 23Rd St,,Tey Md Llc,Multifamily Residential,"22,950","$1,184,159 ","$977,609 ",26.26548,-98.23463,267972,R1400-02-000-0001-0C
Cameron,La Feria,Expressway 83,78559,Browning-Ferris Inc,Commercial Real Property,"10,230","$1,184,110 ","$269,350 ",26.1578,-97.8239,174517,84-0710-1420-0030-00
Hidalgo,Edinburg,1414 W University Dr,,L&G Brookhaven Llc,Commercial Real Property,"38,293","$1,183,429 ","$834,959 ",26.30296,-98.17705,816157,S3620-00-000-0001-00
Hidalgo,,9224 E Hwy 107,,Cole Vs Edinburg (Highway 107) Tx Llc,Commercial Real Property,"99,053","$1,182,741 ","$687,476 ",26.29394,-98.06421,713466,C4468-00-000-0001-00
Hidalgo,McAllen,Stewart & Mile 5,,Zig Zag Inc,Multifamily Residential,"21,961","$1,182,522 ","$918,990 ",26.27903,-98.29018,1013709,S6063-01-000-0001-00
Hidalgo,Mission,2215 E Main Ave,,Aguirre Jesus,Multifamily Residential,"249,163","$1,181,900 ","$678,956 ",26.28483,-98.29054,318312,W0100-00-041-0012-25
Hidalgo,Edinburg,Monte Cristo,,Aep Texas Central Company,Commercial Real Property,"1,890,940","$1,180,023 ","$272,372 ",26.34408,-98.18928,1013086,A1168-00-001-0001-00
Hidalgo,,Mile 2 1/2 East,,Srs Land Partnership Ltd,Commercial Real Property,"130,680","$1,178,172 ","$1,032,402 ",26.21894,-97.86824,730662,C1400-00-023-0009-05
Hidalgo,Edinburg,7512 Expwy 281,,Munoz Oscar S,Commercial Real Property,"168,577","$1,177,440 ","$204,713 ",26.3777,-98.14193,345957,S1700-02-000-000K-01
Hidalgo,Edinburg,1501 E Monte Cristo Rd,,Lubin Properties Llc,Commercial Real Property,"73,152","$1,177,405 ","$957,950 ",26.33565,-98.14131,959850,W3910-03-000-0001-00
Cameron,San Benito,1400 W Bus 77,78586,"Legacy Funeral Holdings, Inc",Commercial Real Property,"13,181","$1,172,742 ","$893,043 ",26.1281,-97.6311,105048,61-0821-0010-0010-00
Hidalgo,,3915 S Alamo Rd,,Las Palmas South Texas Apartment Llc,Multifamily Residential,"75,794","$1,171,133 ","$849,007 ",26.25692,-98.11227,591502,M7150-00-056-0001-06
Hidalgo,Edinburg,2119 E Monte Cristo Rd,,Unidos En La Vision,Commercial Real Property,"35,874","$1,168,422 ","$1,042,863 ",26.33447,-98.1332,174150,F2400-00-000-0007-00
Hidalgo,McAllen,5404 - 5412 S Jackson Rd,,Mohn Y Company Llc,Commercial Real Property,"29,700","$1,167,545 ","$781,445 ",26.2528,-98.19447,631776,J2500-01-000-0002-00
Hidalgo,McAllen,1908 Dove Ave,,Lockard Mcallen Holdings Llc,Commercial Real Property,"93,828","$1,165,972 ","$40,033 ",26.25541,-98.23292,1184553,L3366-00-000-0003-00
Cameron,La Feria,404 Lions Villa Ave,78559,Dukes Highway Lp,Multifamily Residential,"89,125","$1,164,191 ","$265,505 ",26.1578,-97.8239,373910,85-5371-0010-0000-00
Hidalgo,Edinburg,708 N 10Th Ave,,Gbb Rentals Ltd,Multifamily Residential,"14,200","$1,163,334 ","$941,458 ",26.30809,-98.16212,164092,E3300-00-099-0001-00
Cameron,San Benito,690 N Williams Rd,78586,Edwards Bruce Nolen Jr,Commercial Real Property,"3,764","$1,160,562 ","$994,873 ",26.1281,-97.6311,104831,61-0820-1250-0132-00
Hidalgo,McAllen,N Sugar Rd,,Wilder Corporation Of Delaware,Commercial Real Property,"382,457","$1,159,964 ","$580,484 ",26.24794,-98.18605,202122,K2400-00-000-0074-03
Hidalgo,McAllen,825 S Alton Blvd,,Rodriguez Jesus Maria Silva,Commercial Real Property,"34,412","$1,158,829 ","$1,010,114 ",26.2786,-98.31582,847275,W0100-00-038-0006-15
Hidalgo,McAllen,2103 - 2115 W Trenton Rd,,Auriel Investments Llc,Commercial Real Property,"48,175","$1,158,684 ","$725,110 ",26.265,-98.19149,696931,T6836-00-000-0003-00
Hidalgo,,11500 Monte Cristo Rd,,Ijooda Group Llc,Commercial Real Property,"1,719,749","$1,156,091 ","$563,891 ",26.36482,-98.3154,796256,J2400-00-002-0004-01
Hidalgo,Edinburg,1811 W Kuhn,,Hernandez Calixto Inc,Multifamily Residential,"45,951","$1,155,957 ","$868,763 ",26.30679,-98.18059,458612,S1353-00-000-0003-00
Cameron,San Benito,2550 Expressway 77/83,78586,San Benito Industrial Development Authority Inc,Commercial Real Property,"7,500","$1,154,768 ","$155,066 ",26.1281,-97.6311,190278,88-5270-1490-0205-00
Hidalgo,McAllen,2101 Trenton Rd,,Iglesia Bautista Getsemani,Commercial Real Property,"212,137","$1,153,555 ","$544,805 ",26.26896,-98.23203,129471,C0420-00-000-000A-00
