County,City,Property Address,Property Zip,Owner Name,Property Type,Building SqFt,Market Value,Improvement Value,Prop Lat,Prop Lon,Account ID,Geo ID
Cameron,La Feria,301 N Main,78559,Spirit Master Funding X Llc C/O Spirit Realty Lp,Commercial Real Property,"7,892","$896,514 ","$693,423 ",26.1578,-97.8239,86359,29-5940-0060-0010-00
Hidalgo,McAllen,5709 N 10Th St,,Will-Bert Properties Inc,Commercial Real Property,"30,000","$896,154 ","$362,154 ",26.25475,-98.22189,532150,W4770-00-000-0001-00
Hidalgo,Edinburg,,,Aguilar & Aguilar Rentals Llc,Commercial Real Property,"134,287","$895,533 ","$87,045 ",26.30853,-98.19919,1373013,I7061-00-000-0001-00
Hidalgo,McAllen,4424 S Mccoll Rd,,Inseca Llc,Commercial Real Property,"7,500","$895,197 ","$666,447 ",26.26463,-98.2013,570371,C8230-03-009-0011-00
Hidalgo,Weslaco,2219 N Texas Blvd,,Weslaco Bingo Llc,Commercial Real Property,"21,250","$894,871 ","$682,371 ",26.18236,-97.99142,274995,S0650-00-000-0001-00
Hidalgo,McAllen,408 E Ulex Ave,,Fabbian Aaron,Multifamily Residential,"26,021","$894,794 ","$660,605 ",26.24411,-98.20857,315948,V4170-00-000-0021-00
Hidalgo,McAllen,501 W Owassa Rd,,Ctc Asset Company Ltd,Commercial Real Property,"33,930","$894,180 ","$792,390 ",26.24853,-98.17948,1183466,O8050-02-000-0003-00
Hidalgo,McAllen,2762 S Expwy 281,,Hurst Investments Llc,Commercial Real Property,"41,988","$893,434 ","$305,602 ",26.27404,-98.15116,723118,F0321-01-000-0004-00
Hidalgo,McAllen,5912 Nightingale Ave,,Seven Sisters Tx Llc,Multifamily Residential,"21,142","$892,796 ","$718,374 ",26.26891,-98.27548,1307675,L3386-00-000-0001-00
Cameron,San Benito,1575 W Bus 77,78586,Black Canyon Holding Co L P,Commercial Real Property,"9,217","$892,731 ","$710,013 ",26.1281,-97.6311,104868,61-0820-1260-0051-00
